id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1292040697286144001,1291835650010832897,1596881481000,2020-08-08,11:11:21,W. Central Africa Standard Time,3310271901,kingsjay222,Powerful Kingsjay,,May God bless u for preaching peace i will rather unfollow @buhari than u.,"['imamofpeace', 'buhari']",[],[],0,0,0,[],[],https://twitter.com/Kingsjay222/status/1292040697286144001,False,,0,,,,,,,"[{'user_id': '3310271901', 'username': 'Kingsjay222'}, {'user_id': '1583865109', 'username': 'Imamofpeace'}, {'user_id': '418975645', 'username': 'buhari'}]",,,,
1291122162871308288,1291122162871308288,1596662486000,2020-08-05,22:21:26,W. Central Africa Standard Time,29944465,ubagroup,UBA Group,,"Your teen can win a scholarship, cash reward & other amazing benefits when you open a #UBATeensAccount for him/her. The account is designed to build their individuality & gives them an opportunity to intern with us.

What’s better? Click to open one😉
#AfricasGlobalBank #UBACares",[],[],[],10,55,729,"['#ubateensaccount', '#africasglobalbank', '#ubacares']",[],https://twitter.com/UBAGroup/status/1291122162871308288,False,,0,,,,,,,"[{'user_id': '29944465', 'username': 'UBAGroup'}]",,,,
1292040666445381633,1292040666445381633,1596881474000,2020-08-08,11:11:14,W. Central Africa Standard Time,1290431025722601478,avniselahaddin,Selahaddin Eyyubi -FSM(Avnî),,"Resulullah -aleyhisselatuvesselam- buyurdu ki: ""Ruhlar toplanmış cemaatler gibidir. Onlardan birbiriyle önceden tanışanlar kaynaşır, tanışmayanlar kaynaşamazlar."" 

[Buhârî]",[],[],[],0,0,0,[],[],https://twitter.com/AvniSelahaddin/status/1292040666445381633,False,,0,,,,,,,"[{'user_id': '1290431025722601478', 'username': 'AvniSelahaddin'}]",,,,
1292040623986540550,1291805657310601216,1596881464000,2020-08-08,11:11:04,W. Central Africa Standard Time,309939666,luvlymikel,Eleta Mike,,You are making sense. I believe in what you are saying but my point is why will Deji condemn this today and support another evil tomorrow. I believe in people who stand to condemn injustice regardless of whose ox is gorred. It might interest you to know i never voted Buhari,"['nnamdisebastia1', 'adeyanjudeji']",[],[],0,0,0,[],[],https://twitter.com/LuvlyMikel/status/1292040623986540550,False,,0,,,,,,,"[{'user_id': '309939666', 'username': 'LuvlyMikel'}, {'user_id': '758982837554909188', 'username': 'NnamdiSebastia1'}, {'user_id': '294082746', 'username': 'adeyanjudeji'}]",,,,
1292040611521069056,1292036827482857472,1596881461000,2020-08-08,11:11:01,W. Central Africa Standard Time,615146262,buhariesmail,Buhari Esmail,,Why?,['ladylatta'],[],[],0,0,0,[],[],https://twitter.com/BuhariEsmail/status/1292040611521069056,False,,0,,,,,,,"[{'user_id': '615146262', 'username': 'BuhariEsmail'}, {'user_id': '144743619', 'username': 'Ladylatta'}]",,,,
1292040599512723456,1291775040434905088,1596881458000,2020-08-08,11:10:58,W. Central Africa Standard Time,715975991340965888,yinkaisola14,Major General Buhari Olayinka (MGBO),,"Toooooor!
Election Shouldn't Be A War.","['ojee123s', 'jackobinyan']",[],[],0,0,0,[],[],https://twitter.com/yinkaisola14/status/1292040599512723456,False,,0,,,,,,,"[{'user_id': '715975991340965888', 'username': 'yinkaisola14'}, {'user_id': '1329017779', 'username': 'Ojee123S'}, {'user_id': '2483148926', 'username': 'JackObinyan'}]",,,,
1292040568336515078,1292040568336515078,1596881451000,2020-08-08,11:10:51,W. Central Africa Standard Time,69271273,daily_trust,Daily Trust,,"Governor David Umahi of Ebonyi State has called on President Muhammadu Buhari not to listen to the call for sack of security chiefs.

Read more:  http://ow.ly/tjhD50AUdlm ",[],['http://ow.ly/tjhD50AUdlm'],[],0,0,5,[],[],https://twitter.com/daily_trust/status/1292040568336515078,False,,0,,,,,,,"[{'user_id': '69271273', 'username': 'daily_trust'}]",,,,
1292040557737529344,1292040557737529344,1596881448000,2020-08-08,11:10:48,W. Central Africa Standard Time,1091251315659943936,fuzul71,FUZÛLÎ ⏳,,"Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu:
“Akıllı mü'min bir yılan deliğinden iki defa ısırılmaz.”

(Buhari, Edeb, 83; Müslim, Zühd, 63)  pic.twitter.com/gHfTKGYRHA",[],[],['https://pbs.twimg.com/media/Ee5AChkWAAAFf4S.jpg'],0,0,0,[],[],https://twitter.com/fuzul71/status/1292040557737529344,False,,0,,,,,,,"[{'user_id': '1091251315659943936', 'username': 'fuzul71'}]",,,,
1292040546526076928,1292040546526076928,1596881445000,2020-08-08,11:10:45,W. Central Africa Standard Time,2716396878,amaka_ekwo,Amaka Ekwo,,Aisha Buhari flown to Dubai to treat neck pain – Punch Newspapers  https://punchng.com/aisha-buhari-flown-to-dubai-to-treat-neck-pain/ …,[],['https://punchng.com/aisha-buhari-flown-to-dubai-to-treat-neck-pain/'],[],0,3,1,[],[],https://twitter.com/Amaka_Ekwo/status/1292040546526076928,False,,0,,,,,,,"[{'user_id': '2716396878', 'username': 'Amaka_Ekwo'}]",,,,
1292040522316558336,1291812971442774016,1596881440000,2020-08-08,11:10:40,W. Central Africa Standard Time,2512841128,chi__larr,BRODA CHI 🇳🇬🇨🇦 #BBNaija,,By the way if you think buhari is good you could have said amen after all it's just simple harmless prayer 😂😂😂😂,"['naseer_gk', 'chachera88']",[],[],0,0,0,[],[],https://twitter.com/Chi__larr/status/1292040522316558336,False,,0,,,,,,,"[{'user_id': '2512841128', 'username': 'Chi__larr'}, {'user_id': '196529748', 'username': 'naseer_gk'}, {'user_id': '253288870', 'username': 'chachera88'}]",,,,
1292040521221840897,1292039022089572352,1596881439000,2020-08-08,11:10:39,W. Central Africa Standard Time,1278665744633540609,floral_empire,Floral_Empire,,"Come and buy what i am selling oh, if not hunger will finish me😭

Selfie ring light and phone holder available for 8k, payment on delivery in lagos. Send a DM for yours
Pls RT😭
#LAYCONtent
Tinubu
Barca
Aisha Buhari
Dubai
#Ozokeepswinning
Ambode pic.twitter.com/1pejp6jcIn",['instablog9ja'],[],[],0,0,0,"['#laycontent', '#ozokeepswinning']",[],https://twitter.com/floral_empire/status/1292040521221840897,False,,1,,,,,,,"[{'user_id': '1278665744633540609', 'username': 'floral_empire'}, {'user_id': '754393222563102720', 'username': 'instablog9ja'}]",,,,
1292040411737993216,1292040411737993216,1596881413000,2020-08-08,11:10:13,W. Central Africa Standard Time,2324360868,kutubusitte,Kutubusitte,,"Abdullah bin Ömer (r.a.) şöyle demiştir:

“Her işimde Allah’a dua ederim, hattâ hayvanımın yürüyüşüne genişlik ve kolaylık vermesi hususunda bile… Bundan dolayı, beni sevindiren sonuçlarla da karşılaşırım.” 

(Buhârî,el-Edebü’l-müfred,no:628)",[],[],[],0,8,59,[],[],https://twitter.com/kutubusitte/status/1292040411737993216,False,,0,,,,,,,"[{'user_id': '2324360868', 'username': 'kutubusitte'}]",,,,
1292040401302454273,1292040401302454273,1596881411000,2020-08-08,11:10:11,W. Central Africa Standard Time,734630311112409088,hutudole,HDLabarai,,"Shugaba Buhari Ya taya Ministan Kwadago Murnar Cika Shekara 68
 http://ow.ly/bIPG50AUdkH ",[],['http://ow.ly/bIPG50AUdkH'],[],0,0,0,[],[],https://twitter.com/hutudole/status/1292040401302454273,False,,0,,,,,,,"[{'user_id': '734630311112409088', 'username': 'hutudole'}]",,,,
1292040379643109376,1292040379643109376,1596881406000,2020-08-08,11:10:06,W. Central Africa Standard Time,4031752209,ola_rsk,@ola R.s.k,,"A rear photo of a pussy and a mouse getting along

#StarGirlErica
#InstagramFreeTacha
Aisha Buhari
#LAYCONtent
#earthquake pic.twitter.com/01MbqaYdtg",[],[],['https://pbs.twimg.com/media/Ee4_AKMWsAYctrx.jpg'],0,0,1,"['#stargirlerica', '#instagramfreetacha', '#laycontent', '#earthquake']",[],https://twitter.com/ola_rsk/status/1292040379643109376,False,,0,,,,,,,"[{'user_id': '4031752209', 'username': 'ola_rsk'}]",,,,
1292040281995595777,1292040281995595777,1596881382000,2020-08-08,11:09:42,W. Central Africa Standard Time,1224830575523090432,michaelokeorji,Mimedia production,,"People with chronic diseases are left to die in pain in local hospitals and our so called First lady is travelling to dubai because of neck pain.THERE IS GOD OO
Aisha Buhari  pic.twitter.com/MAnIhRe53U",[],[],['https://pbs.twimg.com/media/Ee4_wJEWsAA9yK5.jpg'],0,0,1,[],[],https://twitter.com/MichaelOkeorji/status/1292040281995595777,False,,0,,,,,,,"[{'user_id': '1224830575523090432', 'username': 'MichaelOkeorji'}]",,,,
1292040280322052098,1291824426359586817,1596881382000,2020-08-08,11:09:42,W. Central Africa Standard Time,1231976428633313280,bellesnr,Belle Snr,,Meanwhile Ayisha Buhari just travelled to Dubai because she has neck pain God even if na Cameroon I no mind pls,"['officialjidemag', 'tomiwa_faleye']",[],[],0,0,0,[],[],https://twitter.com/BelleSnr/status/1292040280322052098,False,,0,,,,,,,"[{'user_id': '1231976428633313280', 'username': 'BelleSnr'}, {'user_id': '131214521', 'username': 'officialJideMag'}, {'user_id': '1070860546373836800', 'username': 'Tomiwa_faleye'}]",,,,
1292040180656934913,557103734002831360,1596881358000,2020-08-08,11:09:18,W. Central Africa Standard Time,968224325890428929,doll_lenses,"""Adesuwa"" That Edo 🐔 chic🇳🇬",,I hope you're taking records of Buhari's achievement oga maths teacher 🙄,"['nigeria_senator', 'thisisbuhari', 'delemomodu']",[],[],0,0,0,[],[],https://twitter.com/doll_lenses/status/1292040180656934913,False,,0,,,,,,,"[{'user_id': '968224325890428929', 'username': 'doll_lenses'}, {'user_id': '214342828', 'username': 'Nigeria_Senator'}, {'user_id': '707470981', 'username': 'ThisIsBuhari'}, {'user_id': '25238117', 'username': 'DeleMomodu'}]",,,,
1292040177997799424,1292040177997799424,1596881358000,2020-08-08,11:09:18,W. Central Africa Standard Time,1927805491,yusuf2life,YUSUF MOHAMMED,,Buhari signs amended Companies and Allied Matters Bill  http://disq.us/t/3qwdowt ,[],['http://disq.us/t/3qwdowt'],[],0,0,0,[],[],https://twitter.com/yusuf2life/status/1292040177997799424,False,,0,,,,,,,"[{'user_id': '1927805491', 'username': 'yusuf2life'}]",,,,
1292040157772873729,1292010760290349056,1596881353000,2020-08-08,11:09:13,W. Central Africa Standard Time,715975991340965888,yinkaisola14,Major General Buhari Olayinka (MGBO),,"God Bless Your New Age, Your Excellency.",['williemobiano'],[],[],0,0,0,[],[],https://twitter.com/yinkaisola14/status/1292040157772873729,False,,0,,,,,,,"[{'user_id': '715975991340965888', 'username': 'yinkaisola14'}, {'user_id': '1729331947', 'username': 'WillieMObiano'}]",,,,
1292040152509022208,1291981999339720704,1596881351000,2020-08-08,11:09:11,W. Central Africa Standard Time,46935297,aliyujari,Engr. Aliyu Jari,,"Interesting interview with Gen. Oyinlola. Time takes off even the sharpness of a knife. A time lapse of 50 yrs between a Gen. Buhari & a President Buhari has blunted the sharpness of youthful exuberance. 50 yrs later, we are having a completely different generation of Nigerians",['rofasanten'],[],[],0,0,0,[],[],https://twitter.com/Aliyujari/status/1292040152509022208,False,,0,,,,,,,"[{'user_id': '46935297', 'username': 'Aliyujari'}, {'user_id': '717023107', 'username': 'rofasanten'}]",,,,
1292040118971314178,1292040118971314178,1596881343000,2020-08-08,11:09:03,W. Central Africa Standard Time,3197952491,tajudine2013,Tajudeen.,,Buhari why?🤔  https://twitter.com/ogundamisi/status/1291918136506224640 …,[],['https://twitter.com/ogundamisi/status/1291918136506224640'],[],0,0,0,[],[],https://twitter.com/tajudine2013/status/1292040118971314178,False,https://twitter.com/ogundamisi/status/1291918136506224640,0,,,,,,,"[{'user_id': '3197952491', 'username': 'tajudine2013'}]",,,,
1292040105075638274,1292040105075638274,1596881340000,2020-08-08,11:09:00,W. Central Africa Standard Time,1252493827228786693,mrsomtookonkwo,Somto Okonkwo,,"📹'Buhari Has Zero Integrity. Most Of His Wretched Family Members In 2015 Are Now Multi-Billionaires - Buba Galadima, Buhari's Closest Friend Says. 

Aisha Buhari Was Flown To Dubai To Treat Ordinary Neck Pain. Even Yusuf/Zahra Are Now Billionaires. 

#RejectNigeria #lockdown pic.twitter.com/FxabHUeaVL",[],[],[],0,14,4,"['#rejectnigeria', '#lockdown']",[],https://twitter.com/MrSomtoOkonkwo/status/1292040105075638274,False,,1,,,,,,,"[{'user_id': '1252493827228786693', 'username': 'MrSomtoOkonkwo'}]",,,,
1291125349737041921,1291125349737041921,1596663245000,2020-08-05,22:34:05,W. Central Africa Standard Time,29944465,ubagroup,UBA Group,,"The #UBABumperAccount rewards you for saving!
 
With just N5,000, you stand a chance to win N100,000 monthly shopping allowance for a year!!!
Click to open now and you might be one of our lucky winners this month! #AfricasGlobalBank",[],[],[],34,33,829,"['#ubabumperaccount', '#africasglobalbank']",[],https://twitter.com/UBAGroup/status/1291125349737041921,False,,0,,,,,,,"[{'user_id': '29944465', 'username': 'UBAGroup'}]",,,,
1292040100403191808,1292028566264324097,1596881339000,2020-08-08,11:08:59,W. Central Africa Standard Time,1178948555542843392,gennpp,Gen.Mohammad Buhari,,"Bro, @JDMahama is confused than the word confused itself.. He just keeping contradicting himself every now and then
Today FSHS is not possible
Tomorrow FSHS is Bogus
Now FSHS is here to stay which is which?","['ahmusty', 'jdmahama']",[],[],0,0,0,[],[],https://twitter.com/GenNpp/status/1292040100403191808,False,,0,,,,,,,"[{'user_id': '1178948555542843392', 'username': 'GenNpp'}, {'user_id': '477482404', 'username': 'ahmusty'}, {'user_id': '726748106', 'username': 'JDMahama'}]",,,,
1292040039581601792,1292040039581601792,1596881325000,2020-08-08,11:08:45,W. Central Africa Standard Time,1201100196618407936,engrjoshua9,ENGR JOSH,,"This governments has taken us for granted Aisha Buhari already knew nothing is covered under earth and the worst thing  we could do is to come to twitter and tweet  about it and everything dies down after two days...

#AishaBuhari #Dubai",[],[],[],0,0,0,"['#aishabuhari', '#dubai']",[],https://twitter.com/ENGRJOSHUA9/status/1292040039581601792,False,,0,,,,,,,"[{'user_id': '1201100196618407936', 'username': 'ENGRJOSHUA9'}]",,,,
1292040012679307265,1291812971442774016,1596881318000,2020-08-08,11:08:38,W. Central Africa Standard Time,1043435804,maxajee,M A Z A 👳,,"Even though pres. Buhari has failed us, you don't have the right to throw such accusations to his family.. none of them here hold any public office.. channel your energy  and aggresion to those you elected, maybe you'll begin to make sense",['chachera88'],[],[],0,0,0,[],[],https://twitter.com/maxajee/status/1292040012679307265,False,,0,,,,,,,"[{'user_id': '1043435804', 'username': 'maxajee'}, {'user_id': '253288870', 'username': 'chachera88'}]",,,,
1292040003124682752,1291812971442774016,1596881316000,2020-08-08,11:08:36,W. Central Africa Standard Time,2512841128,chi__larr,BRODA CHI 🇳🇬🇨🇦 #BBNaija,,"If Buhari is my father I'll disowned him from birth..... My father is far better than buhari even though i cnt say same for you, obviously your father thinks like you... You better do the rightful needs to your father","['naseer_gk', 'chachera88']",[],[],0,0,0,[],[],https://twitter.com/Chi__larr/status/1292040003124682752,False,,0,,,,,,,"[{'user_id': '2512841128', 'username': 'Chi__larr'}, {'user_id': '196529748', 'username': 'naseer_gk'}, {'user_id': '253288870', 'username': 'chachera88'}]",,,,
1292039999349825536,1292039999349825536,1596881315000,2020-08-08,11:08:35,W. Central Africa Standard Time,1145718810785329152,ebonyrightsng,Ebony Rights Nig,,Aisha Buhari Flown to Dubai for Medicals  http://ebonyrights.com/blog/aisha-buhari-flown-to-dubai-for-medicals/ …,[],['http://ebonyrights.com/blog/aisha-buhari-flown-to-dubai-for-medicals/'],[],0,0,0,[],[],https://twitter.com/EbonyRightsNg/status/1292039999349825536,False,,0,,,,,,,"[{'user_id': '1145718810785329152', 'username': 'EbonyRightsNg'}]",,,,
1292039953485004802,1292032550790144000,1596881304000,2020-08-08,11:08:24,W. Central Africa Standard Time,1214518273607426049,ngtimes_,⚡⚡Follow Help⚡⚡,,"Nigerians React as Aisha Buhari Flown to Dubai for Neck Pain Treatment

 https://theupdates.net/nigerians-react-as-aisha-buhari-flown-to-dubai-for-neck-pain-treatment/ …",['ugmanofficial'],['https://theupdates.net/nigerians-react-as-aisha-buhari-flown-to-dubai-for-neck-pain-treatment/'],[],0,0,0,[],[],https://twitter.com/NGTimes_/status/1292039953485004802,False,,0,,,,,,,"[{'user_id': '1214518273607426049', 'username': 'NGTimes_'}, {'user_id': '1192045678773620737', 'username': 'UGmanofficial'}]",,,,
1292039934270996481,1292027599888289793,1596881299000,2020-08-08,11:08:19,W. Central Africa Standard Time,1077287495958695936,abraham64744454,Abraham,,This very governor doesn't wish buhari well watching him.,['mobilepunch'],[],[],0,0,0,[],[],https://twitter.com/Abraham64744454/status/1292039934270996481,False,,0,,,,,,,"[{'user_id': '1077287495958695936', 'username': 'Abraham64744454'}, {'user_id': '24291371', 'username': 'MobilePunch'}]",,,,
1292039863718551553,1291812971442774016,1596881283000,2020-08-08,11:08:03,W. Central Africa Standard Time,196529748,naseer_gk,Malam_Naseer,,Yes a lot ooh because you only look at buhari’s administration negatively.,"['iamjahsent', 'chachera88']",[],[],1,0,0,[],[],https://twitter.com/naseer_gk/status/1292039863718551553,False,,0,,,,,,,"[{'user_id': '196529748', 'username': 'naseer_gk'}, {'user_id': '2696846693', 'username': 'Iamjahsent'}, {'user_id': '253288870', 'username': 'chachera88'}]",,,,
1292039857083162624,1292035479064502273,1596881281000,2020-08-08,11:08:01,W. Central Africa Standard Time,131480884,obotubong,Obot Ubong 🔴🔵,,"If El rufia or Buhari was Involved, this ur story for change","['sloch14', 'prophetjoemicha', 'mobilepunch']",[],[],0,0,1,[],[],https://twitter.com/ObotUbong/status/1292039857083162624,False,,0,,,,,,,"[{'user_id': '131480884', 'username': 'ObotUbong'}, {'user_id': '1143252443607814145', 'username': 'sloch14'}, {'user_id': '1511791340', 'username': 'Prophetjoemicha'}, {'user_id': '24291371', 'username': 'MobilePunch'}]",,,,
1292039856772841473,1292039856772841473,1596881281000,2020-08-08,11:08:01,W. Central Africa Standard Time,1079445455824654336,atndaily,"Africa Today News, New York",,"President Muhammadu Buhari, on Friday, signed the Companies and Allied Matters Bill (2020), which was recently passed by the National Assembly.
Read More:  https://africatodaynewsonline.com/2020/08/08/president-buhari-finally-signs-companies-and-allied-matters-bill/ …",[],['https://africatodaynewsonline.com/2020/08/08/president-buhari-finally-signs-companies-and-allied-matters-bill/'],[],0,0,0,[],[],https://twitter.com/atndaily/status/1292039856772841473,False,,0,,,,,,,"[{'user_id': '1079445455824654336', 'username': 'atndaily'}]",,,,
1292039782147723266,1292026203801636865,1596881263000,2020-08-08,11:07:43,W. Central Africa Standard Time,715975991340965888,yinkaisola14,Major General Buhari Olayinka (MGBO),,"Endorsement Shouldn't Be Mistaken For Election Proper. INEC Won't Rely Endorsement To Declare A Winner In An Election. 
Endorsement Is An Eye-Service To Politicians But Election Is The Main Deciding Factor. It Is Dangerous To Count On Endorsement.","['jackobinyan', 'governorobaseki']",[],[],0,0,0,[],[],https://twitter.com/yinkaisola14/status/1292039782147723266,False,,0,,,,,,,"[{'user_id': '715975991340965888', 'username': 'yinkaisola14'}, {'user_id': '2483148926', 'username': 'JackObinyan'}, {'user_id': '4712813962', 'username': 'GovernorObaseki'}]",,,,
1292039781447335937,1292036195762024449,1596881263000,2020-08-08,11:07:43,W. Central Africa Standard Time,315322570,tawah89,The Papi,,Imagine Buhari calling his gardener President,['dear_annie___'],[],[],1,0,0,[],[],https://twitter.com/tawah89/status/1292039781447335937,False,,0,,,,,,,"[{'user_id': '315322570', 'username': 'tawah89'}, {'user_id': '1116393247520296962', 'username': 'dear_annie___'}]",,,,
1292039664354852874,1292039664354852874,1596881235000,2020-08-08,11:07:15,W. Central Africa Standard Time,66385183,newsnownigeria,Newsnow Nigeria,,Aisha Buhari flown to Dubai for medical treatment -  https://news.assure.ng/aisha-buhari-flown-to-dubai-for-medical-treatment/ … @Gidi_Traffic @TrafficChiefNG #benefitboys Naira Marley Obaseki iPhone 11 #bbnaijalockdown2020 Olu Jacobs Victor Edoror #2020worstyear 2face Dangote Venza #DorathyDExplora pic.twitter.com/7NYXy6OvDS,"['gidi_traffic', 'trafficchiefng']",['https://news.assure.ng/aisha-buhari-flown-to-dubai-for-medical-treatment/'],['https://pbs.twimg.com/media/Ee4_OkXX0AABzXJ.jpg'],0,0,0,"['#benefitboys', '#bbnaijalockdown2020', '#2020worstyear', '#dorathydexplora']",[],https://twitter.com/NewsnowNigeria/status/1292039664354852874,False,,0,,,,,,,"[{'user_id': '66385183', 'username': 'NewsnowNigeria'}, {'user_id': '378809160', 'username': 'Gidi_Traffic'}, {'user_id': '1535062237', 'username': 'TrafficChiefNG'}]",,,,
1292039658436734979,1291795025391751170,1596881234000,2020-08-08,11:07:14,W. Central Africa Standard Time,1191018331366678528,ife31123874,Ifeanyi Unlimited,,Buhari is evil.,"['aishayesufu', 'zinadabo1']",[],[],0,0,0,[],[],https://twitter.com/Ife31123874/status/1292039658436734979,False,,0,,,,,,,"[{'user_id': '1191018331366678528', 'username': 'Ife31123874'}, {'user_id': '2531005222', 'username': 'AishaYesufu'}, {'user_id': '1036750230123896833', 'username': 'zinadabo1'}]",,,,
1292039544313970688,1292039544313970688,1596881206000,2020-08-08,11:06:46,W. Central Africa Standard Time,96283644,thewillng,THEWILL NIGERIA,,"Edo Election: Avoid Rivers, Bayelsa, Zamafara Experience – Buhari Tells APC- https://is.gd/vgOm88  pic.twitter.com/0YA5rst719",[],['https://is.gd/vgOm88'],['https://pbs.twimg.com/media/Ee4_Hh_XoAE82aE.jpg'],0,0,0,[],[],https://twitter.com/THEWILLNG/status/1292039544313970688,False,,0,,,,,,,"[{'user_id': '96283644', 'username': 'THEWILLNG'}]",,,,
1292039532670590976,1292039532670590976,1596881204000,2020-08-08,11:06:44,W. Central Africa Standard Time,24497893,manmustwack,Retired Jaguda,,Buhari's ear.  pic.twitter.com/npDcGSod3X,[],[],['https://pbs.twimg.com/media/Ee4_G1KWsAAN9Hw.jpg'],1,3,0,[],[],https://twitter.com/manmustwack/status/1292039532670590976,False,,0,,,,,,,"[{'user_id': '24497893', 'username': 'manmustwack'}]",,,,
1292039511719976960,1292039511719976960,1596881199000,2020-08-08,11:06:39,W. Central Africa Standard Time,889647840879939586,naijawapz1,NAIJA WAPZ,,Nigerians react as Aisha Buhari is flown abroad for neck pain  https://ift.tt/3fGpkWK  pic.twitter.com/B6bXsU2RTC,[],['https://ift.tt/3fGpkWK'],['https://pbs.twimg.com/media/Ee4_FuNWAAErXVi.jpg'],0,0,0,[],[],https://twitter.com/Naijawapz1/status/1292039511719976960,False,,0,,,,,,,"[{'user_id': '889647840879939586', 'username': 'Naijawapz1'}]",,,,
1292039422809116672,1291970580305117184,1596881177000,2020-08-08,11:06:17,W. Central Africa Standard Time,1181608462310137856,taytaygold1,Taytay,,I think you wanted to say that you’ll be free to select another thief/thieves by ballots snatching at the end of Buhari’s tenure. Business as usual,"['bayo_adekoya', 'yelesowore', 'naijama']",[],[],0,0,0,[],[],https://twitter.com/taytaygold1/status/1292039422809116672,False,,0,,,,,,,"[{'user_id': '1181608462310137856', 'username': 'taytaygold1'}, {'user_id': '868133959', 'username': 'bayo_adekoya'}, {'user_id': '1051795722', 'username': 'YeleSowore'}, {'user_id': '132463310', 'username': 'naijama'}]",,,,
1292039384720707586,1292039384720707586,1596881168000,2020-08-08,11:06:08,W. Central Africa Standard Time,1250394969166282752,scooperng,Scooper Nigeria,,"It Is A National Disgrace That Aisha Buhari Is Reportedly Receiving Treatment In Dubai.

Sahara Reporters on Friday revealed that the First Lady, Aisha Buhari is in the Gulf country of... https://m.scoopernews.com/detail?newsId=11223588 …
#ScooperNG
#AishaBuhari
Read Trending News On Scooper pic.twitter.com/GH2rVdePoX",[],['https://m.scoopernews.com/detail?newsId=11223588'],['https://pbs.twimg.com/media/Ee4--QGXkAAgatz.jpg'],0,0,0,"['#scooperng', '#aishabuhari']",[],https://twitter.com/ScooperNG/status/1292039384720707586,False,,0,,,,,,,"[{'user_id': '1250394969166282752', 'username': 'ScooperNG'}]",,,,
